procedure-code,procedure-name,number-of-hospitalizations,percentage,duration-of-hospitalization-mediana,name,catalog,year,period
F89,Wirus/ przeciwciała nabytego niedoboru odporności (HIV) Przeciwciała całkowite,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.68,Monitorowanie rzutu serca inną techniką,2,4.17,10,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O49,Triglicerydy,2,4.17,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1909,Ćwiczenia ogólnousprawniające indywidualne,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.2203,Przygotowanie do chodzenia,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1813,Ćwiczenia oddechowe czynne z oporem,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.2202,Pionizacja czynna,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1812,Czynne ćwiczenia oddechowe,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
O29,"Równowaga kwasowo-zasadowa (pH, pCO2, pO2, HCO3, BE)",2,4.17,10,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
89.383,Badanie spirometryczne,2,4.17,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
100.03,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (powyżej 4 godzin),2,4.17,12,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
E20,Próba zgodności serologicznej,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
G49,D-Dimer,2,4.17,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
V52,Wirus zapalenia wątroby typu C Przeciwciała IgG,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
K01,Cholesterol HDL,2,4.17,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
I99,Cholesterol całkowity,2,4.17,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
87.42,Tomografia klatki piersiowej - inne,2,4.17,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
K03,Cholesterol LDL,2,4.17,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
100.01,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (do 2 godzin),1,2.08,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
99.218,Podanie antybiotyku dożylnie lub we wlewie,1,2.08,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
99.622,Zewnętrzna kardiowersja,1,2.08,6,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
37.342,"Ablacja tkanki mięśnia sercowego endokardialna i epikardialna (krioablacja, laserowa, mikrofalowa, falami radiowymi) przez cewnik",1,2.08,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.761,USG brzucha i przestrzeni zaotrzewnowej,1,2.08,10,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
V42,Wirus zapalenia wątroby typu B Przeciwciała HBs,1,2.08,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.3604,Trening marszowy,1,2.08,9,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
87.415,TK tętnic klatki piersiowej (w tym aorta),1,2.08,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1814,Nauka kaszlu i odksztuszania,1,2.08,9,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1204,Ćwiczenia samowspomagane,1,2.08,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.1804,Usprawnianie układu oddechowego - oklepywanie,1,2.08,9,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
37.4998,Inne otwarte zabiegi naprawcze serca i osierdzia,1,2.08,14,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
99.05,Przetoczenie koncentratu płytkowego,1,2.08,10,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
V31,Wirus zapalenia wątroby typu B (HBV) Przeciwciała HBc (całkowite),1,2.08,7,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.77,Diagnostyka ultrasonograficzna obwodowego układu naczyniowego,1,2.08,11,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.56,Koronarografia z użyciem dwóch cewników,1,2.08,5,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
93.2204,Nauka czynności lokomocyjnych,1,2.08,8,ABLACJA WIDEOTORAKOSKOPOWA,1w,2016,2016
88.721,Echokardiografia,1135,79.87,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.522,Elektrokardiografia z 12 lub więcej odprowadzeniami (z opisem),895,62.98,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
87.440,RTG klatki piersiowej,669,47.08,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.00,"Porada lekarska, konsultacja, asysta",662,46.59,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.540,Monitorowanie podstawowych funkcji życiowych,539,37.93,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.01,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (do 2 godzin),535,37.65,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
37.23,Cewnikowanie lewego i prawego serca,522,36.73,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
G21,Czas protrombinowy (PT),470,33.08,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
M37,Kreatynina,469,33.0,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.602,Pulsoksymetria,465,32.72,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I17,Aminotransferaza alaninowa (ALT),446,31.39,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
G11,Czas częściowej tromboplastyny po aktywacji (APTT),431,30.33,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
C55,"Morfologia krwi, z pełnym różnicowaniem granulocytów",393,27.66,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I19,Aminotransferaza asparaginianowa (AST),381,26.81,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I81,Białko C-reaktywne (CRP),378,26.6,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
N13,Mocznik,340,23.93,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
38.99,Nakłucie żyły - inne,308,21.67,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.04,Opieka pielęgniarki lub położnej,300,21.11,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
O35,Sód (Na),271,19.07,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.218,Podanie antybiotyku dożylnie lub we wlewie,270,19.0,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
N45,Potas (K),269,18.93,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
V39,Wirus zapalenia wątroby typu B HBs Antygen,259,18.23,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.521,Wprowadzenie parasola przedsionkowego (metoda King Mills),224,15.76,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
37.21,Cewnikowanie prawego serca,210,14.78,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.961,Przezskórna balonowa walwuloplastyka,205,14.43,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.18,Wstrzyknięcie/ infuzja elektrolitów,200,14.07,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.972,Przezskórne zamknięcie przewodu tętniczego Botalla przy pomocy okludera,196,13.79,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
39.501,"Przezskórna angioplastyka (PTA) - aorty, tętnic biodrowych, udowych, podkolanowych",189,13.3,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.61,Monitorowanie systemowego ciśnienia tętniczego,183,12.88,8,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
96.04,Intubacja dotchawicza,167,11.75,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.971,Przezskórne zamknięcie przewodu tętniczego Botalla przy pomocy spirali,162,11.4,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
G53,Fibrynogen (FIBR),160,11.26,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.79,Badanie fizykalne - inne,158,11.12,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I89,Bilirubina całkowita,156,10.98,12,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.04,Przetoczenie koncentratu krwinek czerwonych,152,10.7,28,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.761,USG brzucha i przestrzeni zaotrzewnowej,151,10.63,15,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
96.781,Ciągła mechaniczna wentylacja trwająca mniej niż 96 godzin,139,9.78,18,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.661,Gazometria mieszanej krwi żylnej,135,9.5,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.541,Monitorowanie czynności serca przy pomocy urządzeń analogowych (typu Holter),133,9.36,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
38.98,Nakłucie tętnicy - inne,130,9.15,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
39.901,Wszczepienie stentu(ów) nie uwalniających leków antyproliferacyjnych do tętnicy obwodowej - stent niepowlekany,129,9.08,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
C53,Morfologia krwi 8-parametrowa,127,8.94,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
96.55,Toaleta drzewa oskrzelowego,126,8.87,21,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
93.0709,Inne pomiary antropometryczne,123,8.66,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.722,Echokardiografia przezprzełykowa,122,8.59,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.01,Profilaktyka i promocja zdrowia,116,8.16,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.54,Monitorowanie elektrokardiograficzne,112,7.88,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.429,Aortografia innych odcinków aorty z kontrastem,112,7.88,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
38.93,Cewnikowanie żył - inne,112,7.88,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.718,USG przezciemiączkowa,105,7.39,26,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.11,Znieczulenie całkowite dożylne (od 30 minut do 60 minut),104,7.32,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.421,Aortografia (łuk aorty) z kontrastem,103,7.25,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
O77,Wapń całkowity (Ca),101,7.11,14,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.999,Pozostałe procedury - inne,100,7.04,8,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
A01,Badanie ogólne moczu (profil),98,6.9,20,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
M87,Magnez całkowity (Mg),89,6.26,28,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
G49,D-Dimer,87,6.12,26,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
39.999,Zabiegi naczyniowe - inne,84,5.91,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.411,Zabieg Rashkinda,82,5.77,22,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
35.711,Zamknięcie ubytku międzyprzedsionkowego,82,5.77,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.43,Arteriografia tętnic płucnych z kontrastem,80,5.63,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.07,Przetoczenie osocza - inne,78,5.49,35,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.210,Wstrzyknięcie antybiotyku nieokreślone,77,5.42,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
37.22,Cewnikowanie lewego serca,77,5.42,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
O29,"Równowaga kwasowo-zasadowa (pH, pCO2, pO2, HCO3, BE)",76,5.35,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I77,Białko całkowite,74,5.21,29,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
96.782,Ciągła mechaniczna wentylacja trwająca 96 lub więcej godzin,73,5.14,36,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.777,USG naczyń kończyn dolnych - doppler,72,5.07,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.02,Znieczulenie ogólne dotchawicze z monitorowaniem rozszerzonym (od 2 do 4 godzin),69,4.86,9,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
G29,Czynnik krzepnięcia V (FV),66,4.64,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
39.539,Zaopatrzenie przetoki tętniczo-żylnej środkami embolizacyjnymi - inne,66,4.64,6,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.0,Znieczulenie ogólne,63,4.43,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
87.441,RTG płuc - inne,62,4.36,37,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
23.0105,Konsultacja specjalistyczna,61,4.29,8,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.549,Monitorowanie elektrokardiograficzne - inne,60,4.22,23,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.12,Znieczulenie całkowite dożylne (powyżej 60 minut),60,4.22,9,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
93.94,Nebulizacja,59,4.15,35,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
99.153,Całkowite żywienie pozajelitowe,58,4.08,30,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I97,Chlorek(Cl),55,3.87,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.729,Echokardiografia - inne,55,3.87,4,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
L23,Fosforan nieorganiczny,55,3.87,29,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
88.39,Zdjęcie RTG - inne,53,3.73,22,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
89.502,Monitorowanie czynności serca za pomocą urządzeń analogowych lub cyfrowych (typu Holter) - Holter EKG,53,3.73,9,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
I87,Bilirubina bezpośrednia,52,3.66,19,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
100.10,Znieczulenie całkowite dożylne (do 30 minut),51,3.59,5,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
L43,Glukoza z krwi żylnej,50,3.52,30,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
39.536,Zaopatrzenie przetoki tętniczo-żylnej spiralami embolizacyjnymi,49,3.45,7,KARDIOLOGICZNE ZABIEGI INTERWENCYJNE<18 LAT,1w,2016,2016
