branch,hospital-types,number-of-patients,number-of-hospitalizations,ratio-of-rehospitalizations,percentage,percentage-of-sections,duration-of-hospitalization-mediana,duration-of-hospitalization-mode,average-value-of-hospitalization,average-value-of-hospitalization-points,average-value-of-drg,average-value-of-drg-points,name,catalog,year,period
,,62,78,1.26,0.0,0.02,1,0,,,,,B01 LECZENIE WYSIĘKOWEJ POSTACI AMD WERTEPORFINĄ PRZY ZASTOSOWANIU TERAPII FOTODYNAMICZNEJ,1a,2017,2017
,,162,162,1.0,0.0,0.04,4,4,,,,,B04 PRZESZCZEP ROGÓWKI - KATEGORIA I *,1a,2017,2017
,,1027,1099,1.07,0.02,0.26,5,4,,,,,B05 PRZESZCZEP ROGÓWKI - KATEGORIA II *,1a,2017,2017
,,27,28,1.04,0.0,0.01,4,2,,,,,B06 PRZESZCZEP ROGÓWKI - KATEGORIA III *,1a,2017,2017
,,1766,1971,1.12,0.03,0.47,2,2,,,,,B11 KOMPLEKSOWE ZABIEGI W ZAĆMIE I JASKRZE *,1a,2017,2017
,,6839,7870,1.15,0.11,1.88,2,2,,,,,"B16 ZABIEGI Z WYKONANIEM WITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2017,2017
,,2050,2080,1.01,0.03,0.5,2,2,,,,,"B16G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII Z UŻYCIEM OLEJU SILIKONOWEGO LUB DEKALINY, W TYM WIELOPROCEDURALNE *",1a,2017,2017
,,8330,8876,1.07,0.12,2.12,2,2,,,,,"B17 ZABIEGI Z WYKONANIEM WITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2017,2017
,,2650,2724,1.03,0.04,0.65,2,2,,,,,"B17G ZABIEGI Z WYKONANIEM FAKOWITREKTOMII, W TYM WIELOPROCEDURALNE *",1a,2017,2017
,,113349,128378,1.13,1.8,30.69,1,0,,,,,B18 USUNIĘCIE ZAĆMY POWIKŁANEJ Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2017,2017
,,150549,171887,1.14,2.41,41.1,0,0,,,,,B19 USUNIĘCIE ZAĆMY NIEPOWIKŁANEJ Z JEDNOCZESNYM WSZCZEPIENIEM SOCZEWKI,1a,2017,2017
,,1908,2109,1.11,0.03,0.5,2,2,,,,,B23 ŚREDNIE ZABIEGI NA SOCZEWCE *,1a,2017,2017
,,2923,3099,1.06,0.04,0.74,0,0,,,,,B24 MAŁE ZABIEGI NA SOCZEWCE,1a,2017,2017
,,1995,2244,1.12,0.03,0.54,0,0,,,,,B32 DUŻE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2017,2017
,,6405,7185,1.12,0.1,1.72,0,0,,,,,B33 ŚREDNIE ZABIEGI NA APARACIE OCHRONNYM OKA *,1a,2017,2017
,,2204,2275,1.03,0.03,0.54,0,0,,,,,B34 MAŁE ZABIEGI NA APARACIE OCHRONNYM OKA,1a,2017,2017
,,877,921,1.05,0.01,0.22,2,2,,,,,B42 DUŻE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2017,2017
,,1674,1795,1.07,0.03,0.43,1,0,,,,,B43 ŚREDNIE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM *,1a,2017,2017
,,2735,2940,1.08,0.04,0.7,0,0,,,,,B44 MAŁE ZABIEGI NA OCZODOLE I APARACIE ŁZOWYM,1a,2017,2017
,,1874,2022,1.08,0.03,0.48,2,2,,,,,B52 DUŻE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2017,2017
,,2004,2091,1.04,0.03,0.5,0,0,,,,,B53 ŚREDNIE ZABIEGI NA ROGÓWCE I TWARDÓWCE *,1a,2017,2017
,,5329,5513,1.03,0.08,1.32,1,2,,,,,B63 ZABIEGI W ZAKRESIE MIĘŚNI OKORUCHOWYCH *,1a,2017,2017
,,3139,3573,1.14,0.05,0.85,3,2,,,,,B72 DUŻE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2017,2017
,,934,993,1.06,0.01,0.24,2,2,,,,,B73 ŚREDNIE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2017,2017
,,1514,1740,1.15,0.02,0.42,1,0,,,,,B74 MAŁE ZABIEGI W JASKRZE I NA NACZYNIÓWCE *,1a,2017,2017
,,640,654,1.02,0.01,0.16,3,2,,,,,B81 DUŻE ZABIEGI NA SIATKÓWCE *,1a,2017,2017
,,49,49,1.0,0.0,0.01,1,1,,,,,B82 DUŻE ZABIEGI NA CIELE SZKLISTYM,1a,2017,2017
,,26,26,1.0,0.0,0.01,3,4,,,,,B83 ŚREDNIE ZABIEGI WITREORETINALNE *,1a,2017,2017
,,7650,15307,2.0,0.21,3.66,0,0,,,,,B84 MAŁE ZABIEGI WITREORETINALNE *,1a,2017,2017
,,2800,2933,1.05,0.04,0.7,0,0,,,,,B94 INNE PROCEDURY W ZAKRESIE OKA *,1a,2017,2017
,,28929,36475,1.26,0.51,8.72,2,2,,,,,B98 LECZENIE ZACHOWAWCZE OKULISTYCZNE,1a,2017,2017
,,1335,1344,1.01,0.02,0.51,15,14,,,,,"C01 ROZLEGŁE OPERACJE NOWOTWORÓW JAMY USTNEJ, GARDŁA I KRTANI Z REKONSTRUKCJĄ *",1a,2017,2017
,,606,610,1.01,0.01,0.23,4,4,,,,,C05G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW ŚLIMAKOWYCH *,1a,2017,2017
,,46,46,1.0,0.0,0.02,3,3,,,,,C06G LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ IMPLANTÓW UCHA ŚRODKOWEGO *,1a,2017,2017
,,210,211,1.0,0.0,0.08,2,2,,,,,C06H LECZENIE ZABURZEŃ SŁUCHU ZA POMOCĄ INNYCH WSZCZEPIALNYCH ELEKTRONICZNYCH PROTEZ SŁUCHU *,1a,2017,2017
,,333,334,1.0,0.0,0.13,0,0,,,,,C07G WYMIANA PROCESORA MOWY IMPLANTÓW ŚLIMAKOWYCH I DO PNIA MÓZGU *,1a,2017,2017
,,73,75,1.03,0.0,0.03,0,0,,,,,C07I WYMIANA PRZETWORNIKA MOWY IMPLANTÓW NA PRZEWODNICTWO KOSTNE *,1a,2017,2017
,,5453,5672,1.04,0.08,2.15,4,2,,,,,"C11 KOMPLEKSOWE ZABIEGI JAMY USTNEJ, GARDŁA I KRTANI *",1a,2017,2017
,,6360,7023,1.1,0.1,2.66,3,0,,,,,"C12 DUŻE ZABIEGI JAMY USTNEJ, GARDŁA I KRTANI *",1a,2017,2017
,,46422,46607,1.0,0.65,17.64,2,2,,,,,"C13 ŚREDNIE ZABIEGI JAMY USTNEJ, GARDŁA I KRTANI < 18 R.Ż.",1a,2017,2017
,,28032,29349,1.05,0.41,11.11,2,2,,,,,"C14 ŚREDNIE ZABIEGI JAMY USTNEJ, GARDŁA I KRTANI > 17 R.Ż.",1a,2017,2017
,,3042,3089,1.02,0.04,1.17,0,0,,,,,"C15 MAŁE ZABIEGI JAMY USTNEJ, GARDŁA I KRTANI *",1a,2017,2017
,,89,89,1.0,0.0,0.03,11,14,,,,,C21E KOMPLEKSOWE ZABIEGI SZCZĘKOWO-TWARZOWE > 65 R.Ż. *,1a,2017,2017
,,724,729,1.01,0.01,0.28,6,4,,,,,C21F KOMPLEKSOWE ZABIEGI SZCZĘKOWO-TWARZOWE < 66 R.Ż. *,1a,2017,2017
,,10040,10432,1.04,0.15,3.95,3,2,,,,,C22 DUŻE ZABIEGI SZCZĘKOWO-TWARZOWE *,1a,2017,2017
,,1122,1133,1.01,0.02,0.43,2,2,,,,,C23 ŚREDNIE ZABIEGI SZCZĘKOWO-TWARZOWE *,1a,2017,2017
,,2559,2914,1.14,0.04,1.1,0,0,,,,,C24 MAŁE ZABIEGI SZCZĘKOWO-TWARZOWE *,1a,2017,2017
,,50,51,1.02,0.0,0.02,4,3,,,,,"C25 ROZLEGŁE ZABIEGI KOREKCYJNE WAD WRODZONYCH TWARZOCZASZKI, JAMY USTNEJ I GARDŁA < 18 R.Ż *",1a,2017,2017
,,435,449,1.03,0.01,0.17,3,3,,,,,"C26 KOMPLEKSOWE ZABIEGI KOREKCYJNE WAD WRODZONYCH TWARZOCZASZKI, JAMY USTNEJ I GARDŁA < 18 R.Ż *",1a,2017,2017
,,592,602,1.02,0.01,0.23,3,3,,,,,"C27 DUŻE ZABIEGI KOREKCYJNE WAD WRODZONYCH TWARZOCZASZKI, JAMY USTNEJ I GARDŁA < 18 R.Ż *",1a,2017,2017
,,197,202,1.03,0.0,0.08,3,2,,,,,"C28 ŚREDNIE ZABIEGI KOREKCYJNE WAD WRODZONYCH TWARZOCZASZKI, JAMY USTNEJ I GARDŁA < 18 R.Ż *",1a,2017,2017
,,2713,2716,1.0,0.04,1.03,0,0,,,,,"C29 MAŁE ZABIEGI KOREKCYJNE WAD WRODZONYCH TWARZOCZASZKI, JAMY USTNEJ I GARDŁA < 18 R.Ż *",1a,2017,2017
,,7455,7912,1.06,0.11,2.99,2,2,,,,,C31 KOMPLEKSOWE ZABIEGI USZU *,1a,2017,2017
,,4902,5092,1.04,0.07,1.93,2,2,,,,,C32 DUŻE ZABIEGI USZU *,1a,2017,2017
,,1420,1432,1.01,0.02,0.54,1,0,,,,,C33 ŚREDNIE ZABIEGI USZU *,1a,2017,2017
,,3163,3289,1.04,0.05,1.24,0,0,,,,,C34 MAŁE ZABIEGI USZU *,1a,2017,2017
,,16331,16514,1.01,0.23,6.25,3,3,,,,,C41 KOMPLEKSOWE ZABIEGI NOSA *,1a,2017,2017
,,30046,30228,1.01,0.42,11.44,3,3,,,,,C42 DUŻE ZABIEGI NOSA *,1a,2017,2017
,,7618,7730,1.01,0.11,2.93,1,0,,,,,C43 ŚREDNIE ZABIEGI NOSA *,1a,2017,2017
,,6189,6326,1.02,0.09,2.39,0,0,,,,,C44 MAŁE ZABIEGI NOSA *,1a,2017,2017
,,143,143,1.0,0.0,0.05,3,3,,,,,C45 DUŻE ZABIEGI ENDOSKOPOWE < 18 R.Ż.,1a,2017,2017
,,1074,1135,1.06,0.02,0.43,0,0,,,,,C46 ŚREDNIE ZABIEGI ENDOSKOPOWE < 18 R.Ż.,1a,2017,2017
,,68,68,1.0,0.0,0.03,7,5,,,,,C48 OSTRE ZAPALENIE ZATOK PRZYNOSOWYCH < 18 R.Ż Z PW,1a,2017,2017
,,12930,14810,1.15,0.21,5.6,4,2,,,,,"C56A POWAŻNE CHOROBY GARDŁA, USZU I NOSA >17 R.Ż.",1a,2017,2017
,,1731,2044,1.18,0.03,0.77,2,0,,,,,"C56B POWAŻNE CHOROBY GARDŁA, USZU I NOSA < 18 R.Ż.",1a,2017,2017
,,49499,51986,1.05,0.73,19.67,3,2,,,,,"C57 INNE CHOROBY GARDŁA, USZU I NOSA",1a,2017,2017
,,1841,1868,1.01,0.03,0.71,1,0,,,,,"C64 INNE PROCEDURY JAMY USTNEJ, GARDŁA, KRTANI, NOSA I USZU *",1a,2017,2017
,,3703,3724,1.01,0.05,0.84,9,7,,,,,D01 ZŁOŻONE ZABIEGI KLATKI PIERSIOWEJ *,1a,2017,2017
,,6398,6580,1.03,0.09,1.48,8,7,,,,,D02 KOMPLEKSOWE ZABIEGI KLATKI PIERSIOWEJ *,1a,2017,2017
,,6434,6607,1.03,0.09,1.49,6,2,,,,,D03 DUŻE ZABIEGI KLATKI PIERSIOWEJ *,1a,2017,2017
,,4982,5333,1.07,0.07,1.2,1,0,,,,,D05 BRONCHOSKOPIA *,1a,2017,2017
,,13247,14637,1.1,0.21,3.3,3,2,,,,,D06 ŚREDNIE ZABIEGI KLATKI PIERSIOWEJ *,1a,2017,2017
,,13189,14138,1.07,0.2,3.19,5,2,,,,,D07 MAŁE ZABIEGI KLATKI PIERSIOWEJ *,1a,2017,2017
,,9554,11397,1.19,0.16,2.57,7,7,,,,,D10E DYCHAWICA OSKRZELOWA > 65 R.Ż.,1a,2017,2017
,,19599,22182,1.13,0.31,5.0,4,3,,,,,D10F DYCHAWICA OSKRZELOWA < 66 R.Ż.,1a,2017,2017
,,13635,14394,1.06,0.2,3.25,8,7,,,,,D16 ZATOR PŁUCNY,1a,2017,2017
,,2439,2914,1.19,0.04,0.66,12,7,,,,,"D17 ROPIEŃ PŁUC, ROPOWICA",1a,2017,2017
,,49303,51410,1.04,0.72,11.6,8,7,,,,,"D18 ZAPALENIE PŁUC NIETYPOWE, WIRUSOWE",1a,2017,2017
,,5694,6575,1.15,0.09,1.48,7,7,,,,,D19 ROZSTRZENIE OSKRZELI,1a,2017,2017
,,989,1189,1.2,0.02,0.27,4,3,,,,,D20 GRUŹLICA,1a,2017,2017
,,1590,3488,2.19,0.05,0.79,2,0,,,,,D21 ZWŁÓKNIENIE TORBIELOWATE,1a,2017,2017
,,6935,8122,1.17,0.11,1.83,7,7,,,,,D26 WYSIĘKOWE ZAPALENIE OPŁUCNEJ,1a,2017,2017
,,46590,63910,1.37,0.9,14.42,6,5,,,,,D28 CHOROBY NOWOTWOROWE UKŁADU ODDECHOWEGO I KLATKI PIERSIOWEJ,1a,2017,2017
,,18757,20194,1.08,0.28,4.56,1,1,,,,,D36 ZABURZENIA ODDYCHANIA W CZASIE SNU,1a,2017,2017
,,8457,8897,1.05,0.12,2.01,5,2,,,,,D37E INNE CHOROBY UKŁADU ODDECHOWEGO > 65 R.Ż.,1a,2017,2017
,,16065,16831,1.05,0.24,3.8,3,2,,,,,D37F INNE CHOROBY UKŁADU ODDECHOWEGO < 66 R.Ż.,1a,2017,2017
,,2816,2917,1.04,0.04,0.66,6,0,,,,,D38 OBRZĘK PŁUC,1a,2017,2017
,,852,984,1.15,0.01,0.22,11,8,,,,,D45 LECZENIE NIEWYDOLNOŚCI ODDYCHANIA PRZY ZASTOSOWANIU NIEINWAZYJNEJ WENTYLACJI MECHANICZNEJ (NWM) >17R.Ż.,1a,2017,2017
,,61904,68473,1.11,0.96,15.45,6,6,,,,,D46 POCHP I INNE OBTURACYJNE CHOROBY UKŁADU ODDECHOWEGO,1a,2017,2017
,,9655,9826,1.02,0.14,2.22,8,7,,,,,D47 ZAPALENIE PŁUC Z PW,1a,2017,2017
,,24997,25516,1.02,0.36,5.76,7,7,,,,,D48 ZAPALENIE PŁUC BEZ PW,1a,2017,2017
,,2456,2515,1.02,0.04,0.57,8,5,,,,,D49 USZKODZENIA INHALACYJNE PŁUC,1a,2017,2017
,,10910,14048,1.29,0.2,3.17,6,2,,,,,D50 ZWŁÓKNIENIE I PYLICA PŁUC,1a,2017,2017
,,2196,2322,1.06,0.03,0.52,5,4,,,,,D51 ODMA OPŁUCNOWA,1a,2017,2017
,,21458,24348,1.13,0.34,5.49,7,7,,,,,D52 NIEWYDOLNOŚĆ ODDECHOWA,1a,2017,2017
,,632,794,1.26,0.01,0.18,5,2,,,,,D53 NADCIŚNIENIE PŁUCNE > 17 R.Ż.,1a,2017,2017
,,206,208,1.01,0.0,0.05,8,7,,,,,D54 ZAPALENIE OPŁUCNEJ,1a,2017,2017
,,5962,8748,1.47,0.12,1.97,4,2,,,,,"D55 ZIARNINIAKI, CHOROBY PŁUC ALERGICZNE I Z AUTOIMMUNIZACJI",1a,2017,2017
,,37,43,1.16,0.0,0.01,2,2,,,,,D56 CIĘŻKIE WADY ROZWOJOWE < 18 R.Ż,1a,2017,2017
,,1442,1471,1.02,0.02,0.18,7,4,,,,,E02 INNE ZABIEGI KARDIOCHIRURGICZNE > 17 R.Ż. *,1a,2017,2017
,,82,82,1.0,0.0,0.01,8,8,,,,,E03 INNE ZABIEGI KARDIOCHIRURGICZNE < 18 R.Ż.,1a,2017,2017
,,246,246,1.0,0.0,0.03,14,8,,,,,E04 POMOSTOWANIE NACZYŃ WIEŃCOWYCH Z PLASTYKĄ *,1a,2017,2017
,,7632,7633,1.0,0.11,0.92,9,8,,,,,E05 POMOSTOWANIE NACZYŃ WIEŃCOWYCH > 69 R.Ż. LUB Z PW *,1a,2017,2017
,,3276,3276,1.0,0.05,0.39,9,8,,,,,E06 POMOSTOWANIE NACZYŃ WIEŃCOWYCH < 70 R.Ż. BEZ PW *,1a,2017,2017
,,235,235,1.0,0.0,0.03,24,18,,,,,E07 POMOSTOWANIE NACZYŃ WIEŃCOWYCH >75 R.Ż. I > 16 DNI *,1a,2017,2017
,,25572,25753,1.01,0.36,3.1,3,2,,,,,E10 OZW - DIAGNOSTYKA INWAZYJNA *,1a,2017,2017
,,7908,7930,1.0,0.11,0.95,6,4,,,,,E11 OZW - LECZENIE INWAZYJNE DWUETAPOWE > 3 DNI *,1a,2017,2017
,,60193,63280,1.05,0.89,7.61,4,4,,,,,E12G OZW - LECZENIE INWAZYJNE *,1a,2017,2017
,,4285,4360,1.02,0.06,0.52,9,8,,,,,E15 OZW - LECZENIE INWAZYJNE > 7 DNI Z PW *,1a,2017,2017
,,14010,14575,1.04,0.2,1.75,5,1,,,,,E16 OZW > 69 R.Ż. LUB Z PW,1a,2017,2017
,,7495,7655,1.02,0.11,0.92,3,1,,,,,E17G OZW - LECZENIE ZACHOWAWCZE,1a,2017,2017
,,1488,1502,1.01,0.02,0.18,3,3,,,,,E21 PRZEZSKÓRNE ZAMKNIĘCIE NIEPRAWIDŁOWYCH POŁĄCZEŃ WEWNĄTRZSERCOWYCH I ZEWNĄTRZSERCOWYCH > 17 R.Ż. *,1a,2017,2017
,,164,164,1.0,0.0,0.02,7,4,,,,,E22E PRZEZSKÓRNE WALWULOPLASTYKI > 65 R.Ż. *,1a,2017,2017
,,30,31,1.03,0.0,0.0,5,5,,,,,E22F PRZEZSKÓRNE WALWULOPLASTYKI > 17 R.Ż. I < 66 R.Ż. *,1a,2017,2017
,,25843,28329,1.1,0.4,3.41,2,1,,,,,E23G ANGIOPLASTYKA WIEŃCOWA Z IMPLANTACJĄ JEDNEGO STENTU *,1a,2017,2017
,,11996,12743,1.06,0.18,1.53,2,1,,,,,E24G ANGIOPLASTYKA WIEŃCOWA Z IMPLANTACJĄ NIE MNIEJ NIŻ 2 STENTÓW LUB WIELONACZYNIOWA *,1a,2017,2017
,,3209,3357,1.05,0.05,0.4,2,1,,,,,E26 ANGIOPLASTYKA WIEŃCOWA BALONOWA *,1a,2017,2017
,,58419,59199,1.01,0.83,7.12,1,1,,,,,E27 KORONAROGRAFIA I INNE ZABIEGI INWAZYJNE *,1a,2017,2017
,,7615,7626,1.0,0.11,0.92,3,2,,,,,E31 WSZCZEPIENIE/ WYMIANA ROZRUSZNIKA JEDNOJAMOWEGO *,1a,2017,2017
,,22165,22199,1.0,0.31,2.67,3,2,,,,,E32 WSZCZEPIENIE/ WYMIANA ROZRUSZNIKA DWUJAMOWEGO *,1a,2017,2017
,,720,723,1.0,0.01,0.09,4,3,,,,,E33 WSZCZEPIENIE/ WYMIANA UKŁADU Z FUNKCJĄ RESYNCHRONIZUJĄCĄ SERCA (CRT) *,1a,2017,2017
,,8332,8357,1.0,0.12,1.01,3,2,,,,,E34 WSZCZEPIENIE/ WYMIANA KARDIOWERTERA-DEFIBRYLATORA JEDNO-/ DWUJAMOWEGO *,1a,2017,2017
,,3749,3768,1.01,0.05,0.45,4,2,,,,,E36 WSZCZEPIENIE/ WYMIANA CRT-D > 17 R.Ż. *,1a,2017,2017
,,1083,1123,1.04,0.02,0.14,4,3,,,,,E37 REPERACJA/ REPOZYCJA/ REWIZJA/ WYMIANA ELEKTRODY/ UKŁADU STYMULUJĄCEGO/ KARDIOWERTERA-DEFIBRYLATORA *,1a,2017,2017
,,20,20,1.0,0.0,0.0,5,2,,,,,E37G WYMIANA ELEKTROD DO CAŁKOWITEGO AUTOMATYCZNEGO SYSTEMU DO KARDIOWERSJI LUB DEFIBRYLACJI [ICD)]- JEDNOJAMOWEGO LUB DWUJAMOWEGO,1a,2017,2017
,,8,8,1.0,0.0,0.0,4,4,,,,,E37H WYMIANA ELEKTROD DO CAŁKOWITEGO AUTOMATYCZNEGO SYSTEMU DO KARDIOWERSJI LUB DEFIBRYLACJI Z FUNKCJĄ RESYNCHRONIZACJI [CRT-D],1a,2017,2017
,,536,566,1.06,0.01,0.07,4,3,,,,,E39 LECZENIE ZABIEGOWE ZABURZEŃ RYTMU < 18 R.Ż.,1a,2017,2017
,,6349,6532,1.03,0.09,0.79,2,2,,,,,E43 ABLACJA ZABURZEŃ RYTMU *,1a,2017,2017
,,1450,1462,1.01,0.02,0.18,2,2,,,,,E44 DIAGNOSTYKA INWAZYJNA ZABURZEŃ RYTMU SERCA *,1a,2017,2017
,,1902,1970,1.04,0.03,0.24,2,2,,,,,E46 ABLACJA (PROSTA) ZABURZEŃ RYTMU Z WYKORZYSTANIEM SYSTEMU ELEKTROANATOMICZNEGO 3D *,1a,2017,2017
,,1714,1761,1.03,0.02,0.21,3,2,,,,,E47 ABLACJA (ZŁOŻONA) ZABURZEŃ RYTMU Z WYKORZYSTANIEM SYSTEMU ELEKTROANATOMICZNEGO 3D *,1a,2017,2017
,,3920,4020,1.03,0.06,0.48,3,2,,,,,E48 ABLACJA MIGOTANIA PRZEDSIONKÓW - IZOLACJA ŻYŁ PŁUCNYCH *,1a,2017,2017
